influencer_appearance,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
5,106,135,123,51,120,134,65,35,53,44,13,14,43,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,107,66,150,18,129,125,67,23,34,73,10,5,52,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,108,179,130,75,142,132,73,33,91,62,8,9,16,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,109,200,81,58,148,130,80,23,117,39,5,7,27,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,110,132,143,63,121,125,62,29,41,46,8,6,38,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,111,172,45,15,132,115,62,29,69,13,8,18,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,112,112,144,47,112,126,57,31,33,58,13,9,41,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,113,79,154,46,140,138,77,27,31,71,9,9,63,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,114,8,182,3,132,134,70,33,6,81,3,8,63,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,115,156,155,91,132,122,61,28,80,69,8,6,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,116,108,57,10,136,136,75,33,36,17,11,6,95,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,117,91,166,41,123,140,71,33,31,65,13,8,34,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,118,167,57,29,118,123,61,30,63,20,8,10,55,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,119,69,190,48,118,125,59,25,29,80,8,6,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,120,127,102,33,129,119,58,31,47,32,9,11,54,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,121,134,127,51,117,137,65,37,53,60,9,9,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,122,117,184,78,126,124,58,34,42,90,7,7,27,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,123,29,158,10,124,118,52,29,8,52,22,6,73,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,124,145,126,46,138,119,67,26,65,67,8,6,25,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,125,38,166,16,138,123,68,34,16,85,7,8,62,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,126,138,145,78,119,134,64,37,66,73,7,9,45,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,127,73,170,32,103,121,47,33,38,55,11,7,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,128,183,89,44,132,143,80,25,84,29,6,10,22,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,129,125,167,72,134,130,67,27,58,86,8,7,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,130,96,178,54,129,129,76,26,34,77,10,8,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,131,187,31,7,128,142,76,38,66,13,10,6,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,132,112,156,51,125,122,59,24,55,72,8,8,33,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,133,182,51,19,133,121,71,28,76,16,11,14,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
